# G1（1級）専用の core 語
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: master.json に無い、1級（C1）帯の新規語。これが1級アプリの core（課金対象）で、
#           全語が1級専用（他エディションには載せない）。docs/vocab-database-spec.md §4。
#           canonical key は word から機械的に決まり、公開後は改名禁止。
# 方針: 例文は1文・4〜10語で、1級までの語彙で構成する（同 §6）。
#       準1級の core と重ならないことは apply スクリプトが検査する。

# === 動詞 299語 ===
abate | 弱まる、和らぐ | The storm abated before dawn. | verb | environment | B
inclination to help | 手を貸そうとする気持ち | She has a natural inclination to help. | noun | society | C
incubation period | 潜伏期間 | The incubation period is five days. | noun | health | B
incumbent | 現職者 | The incumbent kept her seat. | noun | society | B
indemnity | 補償 | The clause provides full indemnity. | noun | business | C
indictment | 起訴 | The indictment lists four counts. | noun | society | C
indifference to risk | 危険への無関心 | Their indifference to risk shocked us. | noun | society | C
indignation | 憤り | The letter expresses quiet indignation. | noun | society | C
inequity | 不公正 | The system corrects an old inequity. | noun | society | C
inertia | 惰性、慣性 | Institutional inertia blocked reform. | noun | business | B
infatuation | のぼせ上がり | His infatuation with gadgets faded. | noun | daily | C
inference from data | データからの推論 | The inference from data seems sound. | noun | education | C
inflammation | 炎症 | Ice reduces inflammation quickly. | noun | health | B
influx | 流入 | An influx of tourists strained the town. | noun | society | B
influx of visitors | 来訪者の急増 | The influx of visitors strained hotels. | noun | business | B
infringement | 侵害 | The design is an obvious infringement. | noun | business | B
infringement penalty | 侵害に対する罰則 | The infringement penalty was severe. | noun | business | C
infusion | 注入、点滴 | The patient received an infusion. | noun | health | C
ingenuity | 創意工夫 | Local ingenuity solved the shortage. | noun | technology | B
ingenuity of design | 設計の妙 | The ingenuity of design impressed judges. | noun | technology | C
ingestion | 摂取 | Accidental ingestion requires a doctor. | noun | health | C
inhibition | 抑制 | Alcohol lowers social inhibition. | noun | health | C
injunction | 差し止め命令 | A court injunction halted the work. | noun | society | C
innuendo | 当てこすり | The article relies on innuendo. | noun | society | C
insecticide | 殺虫剤 | The farm stopped using that insecticide. | noun | environment | B
insinuation | ほのめかし | She rejected the insinuation firmly. | noun | society | C
insolvency practitioner | 破産管財人 | An insolvency practitioner took over. | noun | business | C
insurgency | 反乱 | The insurgency faded after the accord. | noun | society | C
integrity of data | データの完全性 | The audit confirmed the integrity of data. | noun | technology | C
intellect | 知性 | The role demands real intellect. | noun | education | B
interlude | 幕あい、小休止 | The rain was a brief interlude. | noun | general | C
intermediary | 仲介者 | We removed the intermediary entirely. | noun | business | B
intimidation | 威嚇 | Voter intimidation is a serious crime. | noun | society | C
intonation | 抑揚 | Rising intonation signals a question. | noun | education | B
introspection | 内省 | The illness prompted deep introspection. | noun | health | C
isotope | 同位体 | Researchers dated the bone by isotope. | noun | technology | C
jargon | 専門用語 | Avoid jargon in public notices. | noun | education | B
juncture | 時点、局面 | At this juncture, caution is wise. | noun | business | C
jurisprudence | 法学 | She teaches comparative jurisprudence. | noun | education | C
juxtaposition | 並置 | The juxtaposition of old and new works. | noun | education | C
knack | こつ | She has a knack for explaining. | noun | education | B
labor union | 労働組合 | The labor union negotiated a raise. | noun | business | B
labyrinth | 迷路 | The old town is a labyrinth of lanes. | noun | society | C
larva | 幼虫 | The larva feeds on dead leaves. | noun | environment | C
layperson | 素人 | The guide is written for the layperson. | noun | education | C
legion of fans | 大勢のファン | A legion of fans waited outside. | noun | society | C
legislature | 立法府 | The legislature meets twice a year. | noun | society | B
legume | 豆類 | Legumes enrich the soil naturally. | noun | environment | C
leniency | 寛大さ | Auditors showed no leniency. | noun | business | C
lesion | 病変 | The scan revealed a small lesion. | noun | health | C
lexicon | 語彙、用語集 | The field has its own lexicon. | noun | education | C
liaison | 連絡係 | She acts as liaison with the school. | noun | business | B
libel | 文書による名誉毀損 | The paper settled the libel case. | noun | society | C
liquidation | 清算 | The chain went into liquidation. | noun | business | C
liquidity | 流動性 | The bank kept ample liquidity. | noun | business | B
lobbyist | ロビイスト | Lobbyists filled the corridor. | noun | society | B
lull | 小休止 | Sales enjoy a lull in February. | noun | business | B
luminosity | 明るさ | The star's luminosity varies. | noun | education | C
magistrate | 治安判事 | The magistrate imposed a small fine. | noun | society | C
magnate | 大立者 | A shipping magnate funded the hall. | noun | business | C
magnitude of the quake | 地震の規模 | The magnitude of the quake was six. | noun | environment | C
mainstay | 頼みの綱 | Tourism is the island's mainstay. | noun | business | B
mainstream | 主流 | The idea entered the mainstream. | noun | society | B
makeshift shelter | 仮設の避難所 | Families slept in a makeshift shelter. | noun | society | C
malady | 病 | Loneliness is a modern malady. | noun | health | C
malaise | 不調、閉塞感 | A general malaise gripped the sector. | noun | society | C
malpractice | 不正行為、医療過誤 | The board investigated malpractice. | noun | health | B
mandate of voters | 有権者の負託 | The mayor claimed a clear mandate of voters. | noun | society | C
manifesto | 宣言、公約集 | The party published its manifesto. | noun | society | B
manuscript | 原稿 | The manuscript arrived unedited. | noun | education | B
marsh | 湿地 | Rare frogs breed in the marsh. | noun | environment | B
martial law | 戒厳令 | Martial law was lifted after a month. | noun | society | C
mediator | 調停者 | A neutral mediator joined the talks. | noun | business | B
mediocrity | 凡庸さ | The firm settled into mediocrity. | noun | business | C
medley | 寄せ集め | The concert ended with a medley. | noun | education | C
membrane | 膜 | A thin membrane filters the water. | noun | technology | C
memoir | 回想録 | Her memoir sold widely. | noun | education | B
metamorphosis | 変態、変身 | The insect completes its metamorphosis. | noun | environment | C
methane | メタン | Cattle release large amounts of methane. | noun | environment | B
militia | 民兵組織 | A local militia guarded the bridge. | noun | society | C
misdemeanor | 軽犯罪 | Littering counts as a misdemeanor. | noun | society | C
mishap | 災難 | A minor mishap delayed the train. | noun | daily | B
mnemonic | 記憶術 | A simple mnemonic helps here. | noun | education | C
momentous occasion | 重大な機会 | The opening was a momentous occasion. | noun | society | C
momentum of reform | 改革の勢い | The momentum of reform slowed. | noun | society | C
monologue | 独白 | The play opens with a long monologue. | noun | education | C
monopoly power | 独占力 | Regulators curbed its monopoly power. | noun | business | B
moratorium | 一時停止 | The city declared a building moratorium. | noun | society | C
mortality rate | 死亡率 | The mortality rate fell sharply. | noun | health | B
nausea | 吐き気 | Nausea is a common side effect. | noun | health | B
nepotism | 縁故主義 | Hiring rules discourage nepotism. | noun | business | C
nomenclature | 命名法 | Scientific nomenclature avoids confusion. | noun | education | C
nominee | 候補者、名義人 | The nominee declined the post. | noun | business | B
nostalgia | 郷愁 | The photos stirred deep nostalgia. | noun | general | B
notion of progress | 進歩という観念 | The essay questions the notion of progress. | noun | education | C
nuance | 微妙な差 | Translation loses some nuance. | noun | education | B
nuance of tone | 口調の微妙さ | The nuance of tone matters here. | noun | education | C
obscurity | 無名、不明瞭 | The painter died in obscurity. | noun | education | C
obstruction | 閉塞、妨害 | The scan showed an obstruction. | noun | health | B
offshoring | 海外移転 | Offshoring cut local employment. | noun | business | B
oligarchy | 寡頭政治 | Critics called the system an oligarchy. | noun | society | C
onslaught | 猛攻、殺到 | The shop survived an onslaught of orders. | noun | business | C
ordeal | 苦難 | The rescue was a long ordeal. | noun | society | B
ordinance | 条例 | A new ordinance limits night noise. | noun | society | B
outburst | 爆発、噴出 | His outburst surprised everyone. | noun | society | B
outcry | 抗議の声 | Public outcry stopped the demolition. | noun | society | B
outlay | 支出 | The initial outlay is considerable. | noun | business | C
outset of the project | 事業の当初 | Costs were clear at the outset of the project. | noun | business | C
outskirts | 郊外 | They live on the outskirts of town. | noun | society | B
overture | 申し入れ | The rival made a quiet overture. | noun | business | C
ozone depletion | オゾン層破壊 | Ozone depletion slowed after the ban. | noun | environment | B
paleontology | 古生物学 | The museum funds paleontology. | noun | education | C
paradigm | 枠組み、範例 | The field needs a new paradigm. | noun | education | B
paradox | 逆説 | The result presents a curious paradox. | noun | education | B
paraphernalia | 道具一式 | Camping paraphernalia filled the trunk. | noun | daily | C
parity | 同等、等価 | Women reached wage parity in this firm. | noun | society | B
pathogen | 病原体 | The pathogen spreads through water. | noun | health | B
pathos | 哀愁 | The final scene has real pathos. | noun | education | C
patronage | 後援、庇護 | The arts rely on quiet patronage. | noun | society | C
payback period | 回収期間 | The payback period is four years. | noun | business | C
pecuniary loss | 金銭的損失 | The clause covers pecuniary loss. | noun | business | C
pedagogy | 教育法 | The school revised its pedagogy. | noun | education | C
peer review | 査読 | The paper passed peer review. | noun | education | B
penchant | 好み、傾向 | He has a penchant for old maps. | noun | daily | C
pension scheme | 年金制度 | The pension scheme was reformed. | noun | business | B
perception of risk | 危険の受け止め方 | Perception of risk varies by age. | noun | society | C
perjury | 偽証 | He was charged with perjury. | noun | society | C
permafrost | 永久凍土 | Thawing permafrost releases gas. | noun | environment | C
persona | 対外的な人格 | His public persona hides shyness. | noun | society | C
pharmaceutical | 医薬品 | A pharmaceutical firm funded the trial. | noun | health | B
philanthropy | 慈善活動 | The hall was built through philanthropy. | noun | society | B
photosynthesis | 光合成 | Photosynthesis needs light and water. | noun | environment | B
physiology | 生理学 | The course covers basic physiology. | noun | health | C
pinnacle | 頂点 | The award marks the pinnacle of her career. | noun | education | C
pittance | わずかな額 | The job pays a pittance. | noun | business | C
plateau | 高原、停滞期 | Progress reached a plateau. | noun | education | B
plethora | 過多 | A plethora of options confuses buyers. | noun | business | C
plight | 苦境 | The report describes the plight of tenants. | noun | society | B
plurality | 相対多数 | She won by a narrow plurality. | noun | society | C
plutocracy | 金権政治 | The essay criticizes creeping plutocracy. | noun | society | C
poise | 落ち着き | She answered with complete poise. | noun | health | C
pollination | 受粉 | Bees handle most pollination. | noun | environment | B
populace | 大衆 | The populace welcomed the reform. | noun | society | C
potency | 効力 | The drug loses potency in heat. | noun | health | C
precedent | 前例 | The ruling sets a clear precedent. | noun | society | B
precursor | 前身、前触れ | The device was a precursor to modern phones. | noun | technology | C
predicament | 窮地 | The team faced a real predicament. | noun | general | B
premise | 前提 | The argument rests on a false premise. | noun | education | B
prerequisite | 前提条件 | Basic math is a prerequisite. | noun | education | B
prerogative | 特権 | Pardon is the governor's prerogative. | noun | society | C
proceeds | 収益金 | Proceeds go to the animal shelter. | noun | business | B
proclivity | 性癖、傾向 | He has a proclivity for detail. | noun | education | C
prodigy | 天才 | The pianist was a child prodigy. | noun | education | C
proficiency pay | 技能手当 | Proficiency pay rewards certified staff. | noun | business | C
proliferation | 急増、拡散 | The proliferation of apps overwhelms users. | noun | technology | B
proponent | 支持者 | Proponents cite lower emissions. | noun | society | B
proprietor | 所有者 | The proprietor greeted every guest. | noun | business | B
propriety | 礼儀正しさ、妥当性 | Questions of propriety delayed the deal. | noun | business | C
prose | 散文 | Her prose is clear and unhurried. | noun | education | B
protagonist | 主人公 | The protagonist never leaves the village. | noun | education | B
proximity | 近接 | Proximity to the station raises rent. | noun | society | B
proxy | 代理人、代理投票 | Shareholders voted by proxy. | noun | business | B
prudence | 慎重さ | Prudence suggests a smaller loan. | noun | business | C
quandary | 板挟み | The offer left him in a quandary. | noun | general | C
quirk | 癖、風変わりな点 | Every old house has its quirks. | noun | daily | B
rainfall runoff | 降雨流出 | Rainfall runoff floods the low street. | noun | environment | C
ramification | 波及する影響 | The ruling has wide ramifications. | noun | society | C
rapport | 信頼関係 | Good teachers build rapport quickly. | noun | education | B
rapture | 歓喜 | The audience listened in rapture. | noun | general | C
rationale | 根拠 | Explain the rationale for the change. | noun | business | B
reagent | 試薬 | The reagent turns blue in acid. | noun | technology | C
recipient | 受取人 | The recipient must sign here. | noun | business | B
reconnaissance | 偵察、下見 | The team did a quick reconnaissance. | noun | society | C
recourse | 頼るもの、償還請求権 | Buyers have legal recourse. | noun | business | C
redundancy pay | 解雇手当 | Redundancy pay softened the blow. | noun | business | C
refuge | 避難 | Birds take refuge in the reeds. | noun | environment | B
rejoinder | 返答 | His rejoinder ended the argument. | noun | education | C
relic | 遺物 | The lamp is a relic of the war years. | noun | education | B
reminiscence | 回想 | The book is a gentle reminiscence. | noun | education | C
remission | 寛解 | The illness went into remission. | noun | health | C
remuneration | 報酬 | Remuneration includes a travel allowance. | noun | business | C
rendition | 表現、演奏 | Her rendition of the song was lovely. | noun | general | C
reparation | 賠償 | The state paid reparation to the families. | noun | society | C
repatriation | 本国送還 | Repatriation flights began in May. | noun | society | C
repercussion | 影響、余波 | The tax had wide repercussions. | noun | business | B
repertoire | レパートリー | The choir expanded its repertoire. | noun | education | B
reprisal | 報復 | Workers feared reprisal for speaking out. | noun | business | C
respiration | 呼吸 | Respiration slows during sleep. | noun | health | C
respite | 小休止、猶予 | The rain gave brief respite from the heat. | noun | environment | C
restitution | 返還、賠償 | The court ordered full restitution. | noun | society | C
retainer | 顧問料 | The firm pays a monthly retainer. | noun | business | C
retribution | 報い、応報 | The novel is about crime and retribution. | noun | society | C
reverence | 畏敬 | Students speak of her with reverence. | noun | education | C
rhetoric | 修辞、美辞麗句 | Strip away the rhetoric and check facts. | noun | education | B
rift | 亀裂 | A rift opened between the partners. | noun | business | B
rigor | 厳密さ | The study lacks statistical rigor. | noun | education | C
rubble | がれき | Volunteers cleared the rubble. | noun | society | B
sabbatical | 研究休暇 | She spent a sabbatical in Kyoto. | noun | education | C
sabotage | 妨害工作 | Investigators ruled out sabotage. | noun | society | B
sagacity | 賢明さ | The plan reflects unusual sagacity. | noun | education | C
salinity | 塩分濃度 | Salinity rose after the drought. | noun | environment | C
sanitation system | 下水処理 | The village built a sanitation system. | noun | health | B
sapling | 苗木 | Volunteers planted two hundred saplings. | noun | environment | C
scaffolding | 足場 | Scaffolding covers the north wall. | noun | technology | C
scrutiny of records | 記録の精査 | Scrutiny of records revealed the error. | noun | business | C
secession | 分離独立 | The region abandoned talk of secession. | noun | society | C
sedition | 扇動 | The old law punished sedition harshly. | noun | society | C
semantics | 意味論 | The dispute is one of semantics. | noun | education | C
semblance | 外見、体裁 | Order regained some semblance of calm. | noun | society | C
sensibility | 感性 | The design suits modern sensibility. | noun | education | C
sequel | 続編 | The sequel outsold the original. | noun | education | B
serenity | 静穏 | The garden offers rare serenity. | noun | health | C
sewage | 下水 | Untreated sewage reached the bay. | noun | environment | B
silt | 沈泥 | Silt clogged the irrigation channel. | noun | environment | C
snag | 思わぬ障害 | We hit a snag with the permit. | noun | business | B
solace | 慰め | Music brought her some solace. | noun | health | C
solitude | 孤独 | He works best in solitude. | noun | health | B
solvency | 支払い能力 | Regulators monitor bank solvency. | noun | business | C
spectrum | 範囲、スペクトル | Opinions cover the whole spectrum. | noun | society | B
speculation | 投機、推測 | Land speculation drove prices up. | noun | business | B
spree | 熱狂的な行い | A shopping spree emptied his wallet. | noun | daily | C
stalemate | 膠着状態 | Negotiations ended in stalemate. | noun | business | B
statute | 法令 | The statute dates from 1949. | noun | society | B
stewardship | 管理責任 | Good stewardship protects the forest. | noun | environment | C
stint | 任期、期間 | She did a two-year stint overseas. | noun | business | C
stipend | 手当、奨学金 | Interns receive a small stipend. | noun | education | C
stipulation | 規定、条件 | One stipulation concerns noise levels. | noun | business | C
subordinate | 部下 | He rarely praises his subordinates. | noun | business | B
subsidence | 地盤沈下 | Subsidence cracked the old wall. | noun | environment | C
subsidiary | 子会社 | The subsidiary was sold last spring. | noun | business | B
subsistence | 最低限の生活 | Many families live at subsistence level. | noun | society | C
subtlety | 微妙さ | The subtlety of the joke was lost. | noun | education | C
succession plan | 後継者計画 | The board approved a succession plan. | noun | business | C
suffrage | 選挙権 | Universal suffrage came gradually. | noun | society | C
surge in demand | 需要の急増 | A surge in demand emptied the shelves. | noun | business | B
surveillance state | 監視国家 | The essay warns of a surveillance state. | noun | society | C
sustenance | 栄養、生計 | Rice provides basic sustenance here. | noun | health | C
symposium | シンポジウム | The symposium drew forty scholars. | noun | education | B
syndicate | 企業連合 | A syndicate financed the stadium. | noun | business | C
synopsis | あらすじ | Send a one-page synopsis. | noun | education | B
synthesis | 合成、統合 | The paper offers a useful synthesis. | noun | education | B
temperament | 気質 | The job suits a calm temperament. | noun | health | B
tenacity | 粘り強さ | Her tenacity impressed the panel. | noun | education | B
tenet | 信条、教義 | Fairness is a central tenet here. | noun | society | C
terrain | 地形 | The terrain is steep and rocky. | noun | environment | B
thoroughfare | 主要道路 | Trucks avoid the narrow thoroughfare. | noun | society | C
threshold of pain | 痛みの閾値 | Everyone has a different threshold of pain. | noun | health | C
throng | 群衆 | A throng filled the narrow street. | noun | society | C
torrent | 奔流、殺到 | A torrent of messages followed. | noun | technology | C
tranquility | 静けさ | The village prizes its tranquility. | noun | environment | C
transcript | 記録、成績証明書 | Please attach your academic transcript. | noun | education | B
treatise | 論文、専門書 | He wrote a treatise on water rights. | noun | education | C
tremor | 揺れ、震え | A small tremor woke the town. | noun | environment | B
tribunal | 審判所 | The tribunal heard forty witnesses. | noun | society | C
tumult | 騒動 | The tumult died down by evening. | noun | society | C
turbulence | 乱気流、動揺 | The flight met heavy turbulence. | noun | technology | B
turmoil | 混乱 | The market fell into turmoil. | noun | business | B
tycoon | 大物実業家 | A steel tycoon built the library. | noun | business | C
tyranny | 圧政 | The play is about petty tyranny. | noun | society | C
underpinning | 土台、根拠 | Data is the underpinning of the claim. | noun | education | C
upheaval | 激変 | The industry faced a major upheaval. | noun | business | B
upsurge | 急増 | There was an upsurge in applications. | noun | business | B
usury | 高利貸し | The law bans usury. | noun | business | C
vantage point | 見晴らしのよい地点 | The tower is a fine vantage point. | noun | general | C
vapor | 蒸気 | Water vapor condenses on the glass. | noun | environment | B
vendor | 販売業者 | Each vendor signs the same terms. | noun | business | B
venture into new markets | 新市場への進出 | Their venture into new markets paid off. | noun | business | B
venue for talks | 協議の場 | The city offered a venue for talks. | noun | society | C
verge | 縁、寸前 | The firm was on the verge of closing. | noun | business | B
vernacular | 土地の言葉 | The play uses the local vernacular. | noun | education | C
vestige | 名残 | Only a vestige of the wall remains. | noun | education | C
viability | 実行可能性 | The study questions its viability. | noun | business | B
vicinity | 近所 | No clinic exists in the vicinity. | noun | society | B
vicissitude | 移り変わり | The family survived many vicissitudes. | noun | society | C
vigilante | 自警団員 | Vigilante patrols worried the police. | noun | society | C
virtue | 美徳 | Patience is an underrated virtue. | noun | society | B
viscosity | 粘度 | Cold raises the oil's viscosity. | noun | technology | C
vocation | 天職 | Nursing became her vocation. | noun | business | B
void | 空白、虚無 | Her retirement left a void. | noun | business | B
vortex | 渦 | A vortex formed behind the rock. | noun | technology | C
warrant | 令状 | Officers arrived with a search warrant. | noun | society | B
warrant for concern | 懸念の根拠 | There is little warrant for concern. | noun | society | C
whim | 気まぐれ | The trip began on a whim. | noun | daily | B
whirlwind | 旋風 | The tour was a whirlwind of events. | noun | general | C
windfall | 棚ぼたの利益 | The sale brought an unexpected windfall. | noun | business | B
yardstick | 判断基準 | Profit is a poor yardstick for schools. | noun | business | C
zeal | 熱意 | He works with missionary zeal. | noun | society | C
zenith | 絶頂 | The empire reached its zenith then. | noun | education | C

# === 句動詞・イディオム 87語 ===
a far cry from | 〜とはほど遠い | The result is a far cry from last year. | other | general | B
at loggerheads | 対立して | The two ministries are at loggerheads. | other | society | C
bank on | 当てにする | Do not bank on quick approval. | other | business | B
bear the brunt of | 矢面に立つ | Small firms bear the brunt of the tax. | other | business | B
beat around the bush | 遠回しに言う | Stop beating around the bush. | other | daily | B
bite the bullet | 歯を食いしばってやる | We bit the bullet and replaced the roof. | other | daily | B
boil down to | 要するに〜になる | It all boils down to cost. | other | business | B
brush up on | 学び直す | I need to brush up on my French. | other | education | B
buckle down | 本腰を入れる | The team buckled down after lunch. | other | business | C
call into question | 疑問を投げかける | The audit calls the figures into question. | other | business | B
carry weight | 重みがある | Her opinion carries weight here. | other | society | B
clamp down on | 取り締まる | Police clamped down on illegal parking. | other | society | B
come to fruition | 実を結ぶ | The plan came to fruition in spring. | other | business | C
crop up | 不意に生じる | New problems crop up every week. | other | business | B
cut corners | 手を抜く | Never cut corners on safety. | other | business | A
draw a parallel | 類似点を示す | He drew a parallel with the 1970s. | other | education | C
eke out | 細々と稼ぐ | Farmers eke out a modest living. | other | society | C
err on the side of caution | 安全策をとる | Let us err on the side of caution. | other | business | B
fall by the wayside | 途中で脱落する | Several proposals fell by the wayside. | other | business | C
fend off | 撃退する | The firm fended off a hostile bid. | other | business | B
ferret out | 探り出す | Auditors ferreted out the error. | other | business | C
fizzle out | 尻すぼみになる | The campaign fizzled out by July. | other | society | C
fly in the face of | 真っ向から反する | The claim flies in the face of evidence. | other | education | C
give the benefit of the doubt | 善意に解釈する | I will give her the benefit of the doubt. | other | society | B
gloss over | 都合よく省く | The report glosses over the delay. | other | business | C
go hand in hand | 密接に関係する | Trade and travel go hand in hand. | other | business | B
hammer out | 苦労してまとめる | They hammered out a compromise. | other | business | B
hang in the balance | どうなるか分からない | The project hangs in the balance. | other | business | B
have a bearing on | 影響を及ぼす | Weather has a bearing on the schedule. | other | business | B
hinge on | 〜次第である | Everything hinges on the survey. | other | business | B
hold sway | 影響力を持つ | Old customs still hold sway here. | other | society | C
hold water | 筋が通る | That excuse does not hold water. | other | education | B
in a nutshell | 要するに | In a nutshell, we need more time. | other | business | B
in lieu of | 〜の代わりに | Take a day off in lieu of overtime. | other | business | C
in the offing | 近づいて | A merger seems to be in the offing. | other | business | C
jump to conclusions | 早合点する | Do not jump to conclusions yet. | other | education | B
keep at bay | 食い止める | Regular checks keep rust at bay. | other | technology | B
lay the groundwork | 下準備をする | The visit laid the groundwork for talks. | other | business | B
leave much to be desired | 不十分である | The translation leaves much to be desired. | other | education | B
make headway | 前進する | We finally made headway on the backlog. | other | business | B
mull over | じっくり考える | She mulled over the offer for days. | other | business | B
nip in the bud | 早めに摘み取る | Nip such rumors in the bud. | other | business | C
off the beaten track | 人里離れた | The inn lies off the beaten track. | other | daily | B
on a par with | 〜と同等で | Their service is on a par with ours. | other | business | B
on the brink of | 〜の瀬戸際で | The species is on the brink of collapse. | other | environment | B
par for the course | よくあること | Delays are par for the course here. | other | business | C
pave the way for | 道を開く | The law paved the way for reform. | other | society | B
peter out | 次第に消える | The trail petered out near the ridge. | other | environment | C
pin down | 特定する | Experts cannot pin down the cause. | other | education | B
play down | 軽く扱う | Officials played down the risk. | other | society | B
put a damper on | 水を差す | Rain put a damper on the festival. | other | daily | C
raise eyebrows | 眉をひそめさせる | The bonus raised eyebrows. | other | business | C
ramp up | 増強する | The plant ramped up production. | other | business | B
read between the lines | 行間を読む | Read between the lines of that notice. | other | education | B
rein in | 抑制する | The city reined in spending. | other | business | B
ring true | 本当らしく聞こえる | His account does not ring true. | other | society | C
roll out | 展開する | The bank rolled out a new app. | other | business | B
root out | 根絶する | The audit aims to root out waste. | other | business | B
rub off on | 影響を与える | Her calm rubs off on the team. | other | daily | C
see eye to eye | 意見が一致する | We do not see eye to eye on this. | other | business | B
set the stage for | お膳立てをする | The talks set the stage for a deal. | other | business | B
shore up | 下支えする | Subsidies shore up rural clinics. | other | society | C
sift through | ふるいにかける | We sifted through hundreds of replies. | other | business | B
sit on the fence | 態度を決めない | Voters can no longer sit on the fence. | other | society | C
size up | 値踏みする | He quickly sized up the situation. | other | business | B
smooth over | 丸く収める | She smoothed over the disagreement. | other | business | C
spell out | 詳しく説明する | The letter spells out each condition. | other | business | B
stave off | 食い止める | Savings staved off bankruptcy. | other | business | C
steal the limelight | 注目をさらう | The newcomer stole the limelight. | other | society | C
stem the tide | 流れを食い止める | Nothing could stem the tide of departures. | other | business | C
stumble upon | 偶然見つける | Hikers stumbled upon an old shrine. | other | general | B
take root | 根づく | The custom took root within a decade. | other | society | B
take with a grain of salt | 割り引いて聞く | Take that forecast with a grain of salt. | other | business | B
the tip of the iceberg | 氷山の一角 | These cases are the tip of the iceberg. | other | society | B
tide over | 切り抜けさせる | The loan tided them over the winter. | other | business | C
toe the line | 規則に従う | New members must toe the line. | other | business | C
tone down | 和らげる | The editor toned down the headline. | other | education | B
turn the tables | 形勢を逆転する | The small team turned the tables. | other | business | C
under the auspices of | 〜の後援で | The fair runs under the auspices of the city. | other | society | C
up in arms | 憤慨して | Residents are up in arms over the noise. | other | society | C
usher in an era | 時代を切り開く | The invention ushered in an era of speed. | other | technology | C
vie for | 争う | Six firms vie for the contract. | other | business | B
weather the storm | 難局を乗り切る | The shop weathered the storm. | other | business | B
weed out | 取り除く | The test weeds out weak applications. | other | business | B
whip up | かき立てる | The article whipped up needless fear. | other | society | C
with flying colors | 見事に | She passed the exam with flying colors. | other | education | B
wriggle out of | 逃れる | He tried to wriggle out of the duty. | other | business | C
